label,title,text
1,,"Boring as hell and kind of a chick flick. It's the story of a neurotic woman who struggles with the concept of marriage as a business arrangement, the romantic nature of a one night stand, and the uncertainty and pitfalls of true love. Many of the story's motifs are reminiscent of other recent KST movies (e.g. the English Patient), but have far less appeal. After the first half-hour I started checking my watch, wondering if I'd make it home in time to catch Leno on tv. I passed up ""Gladiator"" to see this!?!"
1,,"No Fireworks Despite Violent Action. Science fiction films that reflect quality are scarce indeed, largely because transposal of imaginative themes from the genre to the screen too often falls short of effective execution as a result of insufficient funding or inadequate invention, and unfortunately for its producers, this work is lacking on both counts, woefully so in the case of the latter. With essentially no budget with which to operate, it is a grave mistake to attempt the depiction of such a gamut of events as those within this scenario and, in particular, special effects of space opera warfare which appear only clownish, while seeds from the scriptors' imagination lie fallow due to some of the most fatuous misunderstanding of basic scientific principles to be found. Among these are frequent firing of weapons within a sealed environment, and a wayward law of gravity which enables freedom of movement of cast members while inanimate objects float weightlessly, but it is easier to accept these than it is to pretend that any of the episodes have a basis in plausibility. The plot involves an escape of life sentenced prisoners from a space station penal colony to a waste landfill upon our moon and their various attempts to obtain passage back to Earth, with some few capable players present who are execrably directed by first-timer Paolo Mazzucato, whose production team wastes effort upon such as holographic pornography while ignoring a pressing and basic requirement for the creation of states of suspense and of impetus."
1,,"This is by far the worst and most stupid show I have ever seen on TV. It is almost physically painful to watch an adult (well in his twenties) doing nothing but torture and mock his parents, who always seem to have no clue what so ever about the stunts they are forced to endure by their dimwitted son and his equally stupid friends. Of course I know his parents are in on it, but I really hate how they always act like they are caught completely by surprise. It seems fake through and through. And I really hate the intro of the show, in which a voice over asks ""Bam Margera, what WILL he think of next?!?!"" (I think that's how it is, anyway), and Bam himself answers: ""Whatever the f^*k I want!"" - WOW! Bam is really a hell raiser - living at home with mum and dad! -of course the word ""f^*k"" is replaced with a tasteful beep, but we get the message. Bam is the real deal rebel - at least in his own eyes. Of course Bam and his posse of numb sculls aim at an audience of teenage boys, and of course it's a MTV show, but please, raise the bar a little. It's painfully predictable and stupid, and therefore nothing but boring."
2,,"Wow baby, this is indeed some fine Asian horror/gore, and a crazy outlandish movie. This is a Japanese splatterfest that reminded me a little of Tetsuo, except in this case with all the blood and guts, there is a bizarre love story. It's hard to imagine how they even dreamed up this visually stunning movie, with some unique alien creatures that infect humans as parasites, turning them into part machine or I guess cyborgs. The only thing wrong with these creatures after they take over a human, is they need to kill each other and eat the other. hmmm, yum yum. This would probably be called industrial splatter or something like that, with a superb soundtrack to add to all the fun. The movie also borrows a little from Carpenter's ""The Thing"" in creature design and effects. I would put this in the must-have category for gorehounds, as there is non-stop carnage and some very fine gore. And a must-have for stoners, because you don't even need to read the sub-titles, the visual images alone are enough of a mind trip. The design of the little creatures that inhabit the human body like a fetus reminded me a little of Frank Henenlotter's movies, which is another homage to some excellent gore films with a sense of humour. ""Meatball Machine"" is great fun for gorehounds, there is no doubt about it, and I simply loved it."
2,,"Many people judge it as a fan service film because a lot of super star starring in this movie (Gackt, Hyde, and Wang Lee Hom is very famous singer in Japan). But don't judge it before you watch, is what I say. Gackt and staff are very serious when made this film, and they worked so hard. It's a good film with a touchy story inside. Several scenes can be so fun and some others are so sad. They made it so good until I can't stop watching this all over again. The story has written pretty well but I admit that their act are little disappointing. This is especially for Hyde because his skill of acting is under from the other and it is weird to hear the way when he speaks with other language except his native language (Japan). But, it's comprehensibility because this is their first time to act in the movie. I think Gackt trying to show us about how someone can be so weak when they lose the most important person in their life. When Toshi was killed, when Sho asked Kei to turn Yi-Che to being vampire like him because he won't let her die, When Sho's Brother died, Kei Shoot Son die, and the best and beautiful scene is When Sho pass away~ even I told that Hyde's skill is still weird but I give him two thumps up at that scene!! There's a time where The plot goes too fast like they didn't tell the reason Why Son can join the local mafia and being Sho's enemy because they are a good friend at the past and also Son is Sho's brother in law. Whatever, I love this movie~ (very much ^^). This is an action movie with a touching beautiful story."
2,,"This is a classic continuation to Bleu, the likewise excellent film, with Juliet Binouche as a main star, moreover, she is a cameo appearance here, in Rouge, just for a second at the very end. But this film, truly red and very sweet although very sad, is a real winner. The main heroine, played by ever great Irene Jakob, is a successful photo / fashion model. She leads a full, active life, only darkened by her traumatic relations with her weird friend Mike, who is in England. By some lucky chance, she gets friendly with the old Judge, who spends time listening to the private telephone talks of his neighbors. The story starts to weave even further, and we see him in court, being almost universally condemned for his pastime. She is the only one who feels sympathy for him, for his cute doggy Rita and her pups, and for all the people who surround them. We also witness the break-up of a happy couple of a young lawyer and his lady, and their quarrel is also fueled by that telephone scandal... But the film is not about this, even. It is mostly about the loneliness and deep rifts between people, far and near. When she sails to England on a ferry, with that lawyer as a chance fellow-passenger, as well as that earlier mentioned Binoche who starred in Bleu, the ship sinks and we see the horrified look of The Judge when he watches the news trying to guess if she survived. She did, and still we feel very heavy at heart. Mr. Kislowski managed to draw a grand, subtle story about the solitude, misunderstanding, secrets and pain. Deep, dark personal pain of those who are lost and lonely. Brilliant film."
2,,"I saw Marigold at a preview showing a few days ago, and found it to be a thoroughly engrossing and enjoyable film. The film is about a not-so-successful American actress who goes to India to act in a low budget film, only to find herself stranded there when she finds on arrival that the film's financing has vanished, along with the producers and investors. A chance encounter with an Indian film shooting nearby leads her to be hired for a small dancer role in that. Since Indian films incorporate a significant amount of singing and dancing, this is a problem for Marigold, who has two left feet, not to mention a personality so tightly wound-up and thorny that she can hardly hear the music, let alone feel it, as Prem, the choreographer of the film, advices her to do. But ""prem"" -- the word, not the person -- means ""love"", and Prem -- the person, not the word -- seems to embody that emotion in the way he deals with all around him, whether it be his production assistant friends who introduced Marigold to the shoot, the narcissistic and arrogant leads of the film, or the bitchy and uptight Marigold herself. Soon, under his expert tutelage and endearing treatment, Marigold finds her feet -- literally and figuratively. I must say a word for those not familiar with the use of song and dance in Indian films. Unlike American musicals, the story progresses through these dance numbers, as plot developments unfold, and character transformations occur in parallel with the dancing. It should also be pointed out that Indian dance is about a lot more than mere movement. An essential part of it is the enactment of the dancer's feelings and emotions while telling the story of the dance. This is the main purpose of the dance and the dancer. That Marigold reaches this stage of accomplishment is demonstrated in a stunning dance number about midway through, when Marigold, while performing the dance she is required to do for the film-within-the-film, also expresses her love for Prem. It is an amazing performance by Ali Larter, especially when one considers that she is not used to dancing in her films, or emoting her character's feelings via dance. It shows her skill as an actress, as well as how much hard work she has put into the role. Of course no romantic film can work without a credible Prince Charming. Salman Khan, who plays the role of Prem, fits the role to a T. Even when it turns out that he is a Prince not so charming, he does not lose the audience's sympathy. Salman has been ruling Hindi cinema (sometimes called Bollywood) for many years now, and it is worth remembering that his first leading role was also as Prem. He is completely charming, sweet, adorable, sexy, and vulnerable. For those who have never encountered him on screen before, be prepared to be hit with mega doses of sheer magnetism! He and Ali Larter make a lovely pair, and are as well matched in their acting as in their appearance. Will they manage to work out their problems? It doesn't seem possible as we hear the last song of the film, a lovely blending of fact and fantasy, reality and metaphor. The ending certainly took some of the audience I saw it with by surprise, but they were left satisfied. The songs are used very cleverly. They are in Hindi, unsubtitled, for the film-within-the-film sequences, and in English for other occasions. But their meaning is always clear from the context and choreography. Marigold is a very satisfying romantic comedy -- yes, there is quite a bit of humor as well in it. The Indian locations and costumes give it a fairy tale quality, befitting a story which can be likened to a modern fairy tale. If you are or have been curious about Indian cinema, but were hesitant to try it, this is an excellent introduction. It captures the color and vibrancy of Indian films, not only in the costumes and jewelry (which are quite impressive), but also in the lively dances and world sound music. If you are a fan of Ali Larter, you should watch it for her excellent acting in portraying a selfish, demanding, ""high-maintanance"" woman who nevertheless has an inner attraction that inspires the love of two men. If you are a girl, you will enjoy admiring Ali's lovely costumes and ogling her hunk of a leading man. If you are a guy, you can not only admire Ali in her sexy costumes, but learn from Salman Khan what it takes to bring out the loving heart even from someone as edgy as Marigold."
2,,"I sit through movies like ""Tiempo de valientes"" and I want to talk about cinema for hours. The admiration this movie caused me is beyond my own limits of explanation, because I'm watching the scenes of the film and I search inside my thoughts for film-making ideas and dialogue innovations that could emerge from something bigger than Damian Szifron's mind. Looking the environment, so uncompromised, so simple, I'm thinking; this man is a genius. No wonder he created what is probably the best television show Argentina ever witnessed, and then a first movie full of elements some contemporary directors haven't still achieved. ""El fondo del mar"" is the name and, it awakened (a few years ago), my enthusiasm for our everyday cinema. Starting his journey from people's daily real lives, Szifron goes where Pablo Trapero never could in ""El Bonaerense""; the Federal Police Department's life. Trapero's film was a journey into a man's mind and experiences, not into the places he saw. Yes, there was a detailed training and lots of crime situations, but Szifron in ""in there"", his is more of a detective story, like the ones we know and love, with the mysteries and the thrilling music. But there's a lot of humanity in his writing, and he shows us his investigation through the eyes of his main characters, Alfredo Díaz and Mariano Silverstein. There are a lot of actors of great caliber in the film, but these two actors are the ones the film can't do without. The first character (Luis Luque) is a detective that has just found out his wife cheats on him; and has to work on a case. The second one is a psychiatrist that is assigned the treatment of the detective. He wants to deal with him in regular sessions but the sheriff takes advantage of the time disposition and suggests he joins Díaz in his routines: ""It's nothing, the usual stuff; no problem"". But it is bigger than that, and it will unfold a part of the doctor's personality he didn't know. The relationship developed between the two leads can't be explained unless it is observed, because it regards such a complexity that demonstrates how talented are some men like Szifron that are trying, today, to leave a signature in our history. Reaching points of unbelievable spontaneity, during a high pressure situation, Díaz tells Silverstein: ""How do we continue our treatment?"", and Silverstein answers: ""No, I'm not your doctor. You call me to have dinner; I'm your friend"": we laugh because we can't help it. And we can't help laughing when Díaz crashes a car in the street and doesn't gives importance to it, or when he trespasses all the red lights in the street, or when he smokes pot in his police patrol and Silverstein can't believe it (but then smokes it too because he's screwed up); or when Silverstein tries to be friendly with Díaz's robber friends. Magic from Diego Peretti is what we receive there. He, a psychiatrist himself, gives a performance in plan ""Locas de amor"", but impresses with all his range. Luis Luque on the other hand, is back on track with a top-notch portrayal that reminds us the great actor he is. There's a passion I have for this, and as I said, I could write about it for hours, but unfortunately that's not the way it works and I have to be precise and summarize. Although I have to watch a lot of the old movies and study them, I could assure that ""Tiempo de valientes"" is the comedy Argentina had been waiting for and never got Until now."
2,,hi I'm from Taft California and i like this movie because it shows how us little town people love our sports football is the main thing in Taft and this movie shows just how important it is i personally think they should make another one but instead of actors use us kids to play the games well show you our determination we've beat Bakersfield every game for the past 6 years and since I'm a senior next year its my last chance and then its college we've had running backs lead the state and I'm next if you want to know me I'm kyle Taylor and i average seven to eight yards a carry and about five times a game ill break away on a 75 or around that yard run so check us out at our website and go to our sports page bye
1,,"For anyone that loves predictable movies with an awful soundtrack, lack of dialogue, clichés up the wazoo, and also stereotypes that just happens to be typical of an American film, look no farther. DreamWorks whether wanted to save money on acquiring voice talent, or really wanted to create an animated episode of National Geographic; either way, they succeeded in delivering a rather bland and boring movie. Spirit: Stallion of the Cimarron is a bore fest that sends mixed signals to kids and adults, and also fails to entertain despite the oh-so-cutesy theme of animals triumphing over humans. After looking past the wonderful animations, what you have remaining is nothing but a big mess. Spirit is about a stallion that from the beginning of the film looks like quite a handful, as he is a horse that cannot be tamed, calmed, nor controlled. Because of this, he rises and becomes the leader of his group of high-spirited horses, which includes his mom. But, his life of freedom and running around comes to an abrupt halt as he is captured by a group of Americans in the process of connecting the Wild West with the rest of the country. During this, Spirit (never actually named that throughout the entire film almost) befriends a courageous Native American, and a fellow female horse, and also has a lot of run-ins with the cynical and cruel Army folks that apparently don't believe in giving up. Why must movies mix computer animation with traditional? It comes off looking rather meshed, something Spirited Away suffered from as well. Best example is when a train is chasing after Spirit; you see the hand-drawn Spirit running from a computer-animated train. It would look much better if it were one or the other, but not both; unless you can really pull off some nice effects. Beauty and The Beast's famous dance sequence uses computer animation, but it is nowhere near as obvious as the train or the snow in this movie. The opening sequence was the best-looking part of the film, kind of sad to see the rest of the movie slide a bit downhill in terms of quality. A little scene has multiple; I mean multiple similar shots of just a general's face, quite repetitive and annoying in my opinion. The kids might enjoy this flick, but with lack of dialog, song, and motivation, it might be a perfect technique in making hyper children fall asleep. While Disney becomes criticized for its animated musicals, they wind up becoming much more entertaining than a more realistic approach to telling a story like this one. Bryan Adams has no place in this movie, and why does Hans Zimmer stay away from using a Western theme in this movie, when it is a story taking place in the Old West? Soundtrack sounds a bit off if you ask me. At least they are using realistic noises of horses, two points for that. Yet, if you are going to refrain from making horses talk, why even have a narrator interrupt every so often, which just so happens to be the main character himself? Native Americans are nice, and the Western folks are evil, Native-killing, horse torturing, rowdy, psychopathic monsters that must be destroyed. More or less, this is what Spirit is showing us. It reaches a point in which they are trying so hard for the viewers to hate the travelers of the Wild West; they even had a scene of several horses pulling a huge train up a hill, and another scene of them destroying an entire village of Natives. Now, the person Spirit befriended happened to betray him, on more than one occasion, yet that is forgivable, apparently because he is not a soldier; that or because he has the sassy female horse. Spirit isn't exactly a victim we should feel sorry for; the viewer is supposed to sympathize with Spirit despite him putting his entire group of horses at risk, wreaking havoc, and even perhaps resulting in some off-screen deaths that are quickly shoved aside because oh no, Spirit is in trouble! This film gets quite rhythmic, as we see in multiple instances Spirit escaping from chains, kicking people around, destroying property, freeing horses, and then getting captured again---all in this same order too. The writers also seem to have an obsession with cliffs because they are sprinkled all over the movie; for an Old West film, they certainly have very little room to roam. Bottom Line: This is most certainly no Disney movie, as a matter of fact that is a bad thing, even though it was what they were aiming for. So, instead of the typical musical, we get a boring film that becomes predictable, dull and slow in multiple instances. Even the decent animation becomes inconsistent when the computer work gets thrown in. Everything about this movie was just wrong; from the ideals that back then Americans that were not native were evil buffoons, to the soundtrack and musical score that just seemed so far off. Kill Bill Vol. 2, which pretty much has nothing to do with the Old West, has more of a Western feel than this movie. Do yourselves a favor and totally skip this by all means necessary. Thank you."
