label,title,text
0,,If anyone has a list of companies doing data visualization (software or hardware) I would like to hear from them. Thanks. -- krs --
3,,"I saw a Lifetime Medical Television show a few months back on travel medicine. It briefly mentioned some drugs which when started two or three days before getting to altitude could assist in acclimitazation. Unfortunately all that I can recall is that the drug stimulated breathing at night??? I don't know if that makes sense, it seems to me that the new drug which stimulates red blood cell production would be a more logical approach, erythropoiten (sp?). Alas, I didn't record the program, but wish I had, since I live at over 7000ft. and my mother gets sick when visiting. Please let me know if you get more informative responses."
2,,"Bunker & McNally were later. Pappas, Estrada, Steve Barber, and . . . ?"
3,,"I agree. Adding layers of managers and bureaucrats simply eat up money that could be spent on those who actually are doing the work such as doctors and nurse, and supplies. The most efficient system is probably one that has limited management and a fixed budget such as England's or even Canada's. I'm afraid we are on the wrong track. The problem may be that the insurance lobby is too powerful. -- ---------------------------------------------------------------------------- Gordon Banks N3JXP | ""Skepticism is the chastity of the intellect, and geb@cadre.dsl.pitt.edu | it is shameful to surrender it too soon."""
1,,"I understand Caddy is working on one, double battery, super high perf engine, more gauges, a bit 'stretched', etc, lots of communication equipment, the works. Color selection is limited though. The problem is that the guy at 1600 Penn. Avenue is about to get it (Pres. Clinton) (Last time it was a Lincoln, this time a Caddy). Not to my knowledge; I know GM does conversion work for things like hot climates (i.e. the Chevy Caprices sold to the Middle East) but things like that are always done by third parties, NOT the manufacturer. Maybe you will need to buy a specific package that has beefed-up everything, perhaps the police cruiser package on the Caprice/Crown Vic and start from there. ""And I wuz drivin' along in my armored Seville STS and this punk pulls out of nowhere with an RPG (Rocket Propelled Grenade) but the bulletproof windshield stopped him"" :-) Don't think many people on the net have a need for bulletproof cars. Check with local armored service companies/security/bodyguard places. They'd know best. I think your average luxury car dealer will have a coronary if you told them ""I'll take the blue Caprice, with options FZ01 (Fuzzy Dice), PR11 (power everything), and AR007 (Armor). I believe an article on the conversion process appeared in the car press within the last few months. Spiros"
4,,"Does anyone know ifthe STS-56 email press kit was ever released? -Tony Ryan, ""Astronomy & Space"", new International magazine, available from: Astronomy Ireland, P.O.Box 2888, Dublin 1, Ireland. 6 issues (one year sub.): UK 10.00 pounds, US$20 surface (add US$8 airmail). ACCESS/VISA/MASTERCARD accepted (give number, expiration date, name&address)."
3,,"Short of changes by the feds, there is no way. Codeine alone is very difficult to prescribe without a lot of hassles. Tylenol #3 is the best compromise. That way he can get refills. The amount of acetominophen he is getting with his codeine won't hurt him any. -- ---------------------------------------------------------------------------- Gordon Banks N3JXP | ""Skepticism is the chastity of the intellect, and geb@cadre.dsl.pitt.edu | it is shameful to surrender it too soon."""
2,,"A guy who threw 240 innings with about .6 run lower ERA would have saved the bullpen even more. Say, somebody like Frank Viola (238 innings). Nice audition tape. Send it to: Baseball Tonight ATTN: Ray Knight ESPN Bristol, CT Have you, by chance, taken a look at the boxscores from last year to determine the accuracy of your account? I seem to recall Morris getting at least 3 or 4 wins last year when the Jays came back from behind after they had decided to pull Morris at the end of an inning. Mike Jones | AIX High-End Development | mjones@donald.aix.kingston.ibm.com"
1,,"(I deleted your name because I don't want to sound accusative in my remark) I'm not going to argue the issue of carrying weapons, but I would ask you if you would have thought seriously about shooting a kid for setting off your alarm? I can think of worse things in the world. Glad you got out of there before they did anything to give you a reason to fire your gun. We can all ask ""what's happening to society these days"", but don't forget to ask another important question too: What effort am I expending to make it any different than it is?"
3,,"Archive-name: typing-injury-faq/changes Version: $Revision: 1.3 $ $Date: 1993/04/13 04:12:33 $ This file details changes to the soda.berkeley.edu archive and summarizes what's new in the various FAQ (frequently asked questions) documents. This will be posted monthly, along with the full FAQ to the various net groups. The various mailing lists will either receive the full FAQ every month, or every third month, but will always get this file, once per month. Phew! ============================================================================ Changes to the Typing Injuries FAQ and soda.berkeley.edu archive, this month ============================================================================ a few new files on the soda.berkeley.edu archive the TidBITS ""Caring for your wrists"" document RSI Network #11 Advice about ""adverse mechanical tension"" More details about the new Apple keyboard more info about carpal tunnel syndrome (carpal.explained) more general info about RSI (rsi.details, rsi.physical) marketing info on the Vertical MacWeek article the Bat new details on hooking a normal PC keyboard to an RS/6000 updated pricing info on the DataHand and Comfort Half-QWERTY now available for anonymous ftp on explorer.dgp.toronto.edu new GIF picutures! The Apple Adjustable Keyboard The Key Tronic FlexPro another picture of the Kinesis The Vertical The Tony! ============================================================================ If you'd like to receive a copy of the FAQ and you didn't find it in the same place you found this document, you can either send e-mail to dwallach@cs.berkeley.edu, or you can anonymous ftp to soda.berkeley.edu (128.32.149.19) and look in the pub/typing-injury directory. Enjoy!"
1,,"I know it's a long shot, but maybe someone went through this and will have some comments to share. The story is this: I bought a car out of state, and I'm trying to get the safety inspection in Pennsylvania. The problem is that the car has aftermarket tint on all windows except the windshield. The tint is rather weak, and you can clearly see the inside of the car through the tint. The inspection garage said that they won't pass it unless I get a waiver from the state police. So I went to the state police - the officer told me that aftermarket tint is illegal, and I can get a waiver only for a pre-84 car or for a medical reason. I asked him to show me the section of the vehicle code that says it's illegal. He showed it to me and the paraghaph said that you can't have tint, if you can't see the inside of the car because of the tint. When I told him that you can in fact see the inside very well, he shut the book and said ""It's just illegal, and in fact we can have someone give you a ticket for it right now."" Well, won't argue with that... Since the vehicle code says it's OK as long as you can see through the tint, I'd like to keep it (I'll re-read the vehicle code in the library). I'd also like to get some sort of paper from the police that says it's OK, so I can get the inspection, and so that I won't get in trouble for the tint later on. I also wouldn't mind registering a complaint against that officer - he really pissed me off. So does anyone have any experience getting that sort of a paper from the police, especially in Pennsylvania? Does anyone have any experience registering a complaint against an officer? I called the station later on today, but they basically said there is no place where I could register a complaint against an officer... And if I do decide to keep the tint and get a ticket anyway, how much of a chance do I stand to succesfully appeal the ticket in court? Any comments about it will be welcome!"
5,,/>/:/g j:Maybe they WANTED it to look like murder. He had 50+ days. I think this was :>coming the whole time. He didn't even put the children in the buried bus or :>the underground bunker during the CS seige. He put them up into the tower :>to die. : : Is CS gas lighter or heavier than air? Do you know? If the CS is heavier than air... most chemical weapons are...
4,,"SPECIFIC: Basically to be able to do the things the big dadies can do.. Monitor, and control if need be the Shuttle... Such as the one in Australia and such...."
