label,title,text
2,,"This is one of my favorite series, all categories, all time. I was fortunate enough to get a hold of the whole series on VHS a few years ago. I loved it when I saw it back in -91 -92, when I was about 12. I love it as much, or more, today, which is remarkable considering my (hopefully) improved film appreciation and criticism skills. Most of the movies I liked back then I'm not that fond of today, besides for the nostalgia factor. That factor is present here as well, but there's so much more to Robin of Sherwood than nostalgia. There are only a few bad things about this series. First, the picture and sound quality is so-so, at least in the first couple of episodes. Fortunately, it gets better. Secondly, you could have wished for a bit more blood and realism in the fighting scenes, although I know that was not an option in this case. So, on to the good things! And there are a lot of them. First of all, Michael Praed IS Robin Hood. I don't think I have seen him in a single role since then, which only strengthen this fact for me. He delivers such a believable performance as Robin. Jason Connery had an impossible task replacing him. The fact that Michael Praed hasn't become a bigger name as an actor is unbelievable. Or perhaps that was his fate, to do this one role perfectly, then disappear. I love Nickolas Graces Sheriff of Nottingham. He is really not a complex character, but totally rotten. The relation between him and Gisburne is just hilarious. Actually, just looking at de Rainault sitting in his throne, bored, glaring, makes me laugh even before he has said anything. Another actor that deserves extra praise is Ray Winstone as Will Scarlet. You can really feel the sadness inside of him as well as his hate for the soldiers who killed his wife. Winstone is an actor that finally has gotten his well deserved Hollywood breakthrough (in films as The Departed and Beowulf). There are a lot of other great actors here, too. I love the portrayal of the Robin gang. They are having fun, playing, laughing, you really get a feel of the camaraderie between them, the closeness that comes from a tight bound group such as this. Those bonding scenes are so important. I think that it being UK produced with British actors really made it better, compared to for example the -92 feature film version with Kevin Costner, that just feels fake, fake, fake. (Christian Slater as Will Scarlet, come on..) The cast being able to speak English with British accent makes it more believable, and I get the feeling that the actors, as well as the director and writers, behind the series can put themselves much more into the shoes of the Robin Hood gang than an American crew could have. The music is wonderful, Clannad is perfect for the feel of the series. The music is another of those things they just nailed. An exciting addition also is the fantasy and magic spice that is put in there. It's not over the top, but believable and just makes the whole thing better and more interesting. I also love how nicely the mix of comedy, adventure and drama is blended. Those are a few of the things that makes this series so alive and so genuine. It's by far the best Robin Hood version I have ever seen. I won't wrap up with the ""Nothing's forgotten"" quote. But one thing that never will be forgotten, for me, is this fantastic Robin Hood retelling. See it."
1,,"A pot - boiler if ever I saw one. A supposed thriller borrowing from ""A Time to Kill"", ""Silence of the Lambs"", even an inverted ""In the Heat of the Night"" with a little reverse murder, a la ""Strangers on a Train"" thrown in, it fails abysmally where all the above, to a large degree, succeeded. Namely, in delivering thrills. The plot seems condensed from a bigger book, making the plot developments obvious and uninvolving, while the direction lacks pace and verve. To rein in any kudos, a major twist had to be delivered along the way and here it fails palpably too. Connery is clearly slowing down in his old age, barely bothering with his attempt at a US accent and besides seems too old to be the husband of Hope Lange and the father of those gosh - darn kids of his. He even has a father in law who seems younger than him. Laurence Fishburne barely gets the chance to inhabit his role and you're confused from the outset as to whether he's a bad guy or a good guy. Someone once said that flashbacks shouldn't lie - they do, confusedly, here. The rest of the playing is merely average by a reasonable cast in their underwritten stereotyped roles. The supposed climax managed too, to roll by leaving me firmly entrenched in the back, not as should have been the aim, front edge of my seat. Mediocre sloppy Hollywood film making for sure."
1,,"Contains spoilers The movie plot can be summarized in a few sentences: Three guys go hunting in the forest. Two of them along other people get shot in the head without explanation. The last guy can stand in the clear, shout and do anything without getting shot. He gets to walk through an old factory and has the evil people walk right into his scope without a struggle. The villains are conveniently dressed in black and look like villains. That is the whole story, not summarized but in detail. Everything is drawn out with a guy standing ringing a door bell. We wait with him. Long shot of guys being bored in the woods and sleeping. We can take a nap with them. The one drawn out shot of following a female jogger could have been redeeming, if we could see her butt or boobs bouncing. There dialog is less then Terminator and it is not because there is so much action. The characters just don't talk. And, then they don't even have something corny to say like 'I'll be back.' If my buddy shot this on the weekend, I'd cheer for him, because it is quite a feat to figure out the camera controls. To pay money to rent this as a DVD is totally inappropriate. The one thing that is a little funny is the extra with the director telling, how they local police didn't realize that they were shooting and treated them like a random guy walking around with a gun. If they'd have filmed that, I'd be sure it would be more fun to watch then the movie."
1,,"Only three words are really required for this review: Piece of crap. If you enjoyed watching the cartoon as a child, you will find this movie to be a complete waste of your time and money. The best thing about your two hours in the auditorium will be your feet sticking to the floor. Yes, they do use all of the names and catch phrases. The even name the dog ""Shoeshine"" (in reference to the dog being ""Shoeshine Boy"" in the cartoon). They name the love interest Polly, but she isn't Miss Sweet Polly Purebred. My wife and son drug me to see this. They should have drugged me to see it. The original Underdog was voiced by Wally Cox, the ultimate nerd. This one is voiced by someone with a ""smart alleck teenager that knows more than all the adults"" attitude. As a stand alone movie, it is awful. As an homage to Underdog, it is even worse. It is not an homage. It is not a retelling of the story. It is not an updating of the story. It is purely an attempt to cash in on a known title and create merchandising. The next time I go to the store, I fear that I will see Underdog toys, pajamas, towels, sheets, clothing, etc. McDonalds and Burger King probably fought over the kid's meal rights for this. The worst part of this movie, however, is the soundtrack. THEY DO THE UNDERDOG THEME SONG TO RAP (read that with a silent ""C"" at the beginning)! Great, now that we are going to destroy something, let's go all the way. I knew that it would probably be bad before I went. My fears were confirmed when I arrived at my local 12 plex and found that they opened it for the first day and first showing in their smallest auditorium (and one of only four without stadium seating). Even the theatre people knew it was going to be garbage! Save your money on the tickets and invest it better by going out and buying the original series on DVD. It will be more entertaining and have better production values."
2,,"Having grown up in New Jersey and having spent many a day and night on the gritty streets of New York in the 1970's, watching a film like ""The Seven-Ups"", or its kindred spirit, ""The French Connection"", always evokes fond memories of a time and place which, for some, might have been NYC's darkest hour, but which for me, in my early twenties, was always one fun-filled adventure after another. I truly miss those times. As one reviewer remarked, ""This film very aptly captures the stark, cold, matter-of-fact feel of the NYC winter season, while keenly exposing the underbelly of the region's infamous underworld of crime and policing. A great snapshot of a place and a time and a culture."". A spot-on characterization of both the film and the city. The stellar attributes of this film -- the plot, the cast, the characters, and of course, the car chase -- are amply described in many of the reviews here, so I won't go into that except to say that one of my favorite moments occurs during the car chase, when the camera focuses on Richard Lynch riding shotgun to the maniacal Bill Hickman. The look of horror on Richard Lynch's face, along with the defensive gestures, are so out-of-character for an actor much better known as a source of terror rather than an object of it, that it is actually comical to watch. I get a chuckle out of it every time."
2,,"A sign of what to expect in this film came when I spotted that this was the first (and probably the last) film to have in its credits a ""Vomit Technician"". In what is a couple of hours of silly gags, hilarious violence and excellent slapstick humour. This film was just what you'd expect from the Bottom boys, and it is great to see them back in their best form after Rik Mayall's life threatening accident. Richie (Mayall) and Eddie (Edmondson) are too similar to their Bottom characters, if we can have any criticism at all, and Edmondson does a surprisingly good job in directing the film also. This film has already spawned the predictable comparisons to Fawlty Towers that just aren't there, and the Guest House Paradiso itself is hardly Torquay! Watch out for some excellently crafted dialogue amongst all the violence and mayhem. If you don't like Bottom you'll probably hate this - but I loved it."
1,,"**Spoiler* It gives away the very irrelevant ending** At the beginning of this movie, there was a brief intro to the world of gore by the master of gore movies, H.G. Lewis. He talked about how this movie was lost, and then found years after the director's death. He also talked about how gore movies were measured by the amount of stage blood used in it. Blood Feast was a 2 galloner, 10,000 Maniacs was a 5 galloner. But, then he goes and claims that Dr. Gore was a 15 galloner. I want to know where half of the 15 gallons went. Watching the movie, I saw very little near 15 gallons. Agreed, there was a fairly large amount of blood, but no where near 15 gallons. Some of the dismemberment scenes were definitely pretty gory and realistic, strings of flesh and all, but I wouldn't say 15 gallons. ""END!!! ENNNNNNNNNDDDDDD!!!"" Does that sound familiar? That's what you should have been saying near the last half of this movie. After the Igor character was tossed into the acid bath, the movie slowed to a painful crawl. There was no coherent end, as it didn't fit into anything the 90 minutes before it provided. She drove off in a van with a total stranger, BIG DEAL! That's what happens when you keep an individual (I won't say person, because she doesn't qualify as a person) very innocent about the world around her. The doctor teaches the girl that a man is to be loved, so every man she meets, she loves. Even though H.G. Lewis told us at the beginning of the movie that we may not like the acting, the directing, or even the gore... I will go with choices A and B. BOTH WERE TERRIBLE!! It was enough to give me bad dreams of cut editing and people with shifty eyes as they talk to one person. But, I made it through the movie, and came out stronger. Too bad I couldn't say the same after finishing ROBO C.H.I.C. This was a BAD movie. I can usually take my doses of vinegar in good stride, but every once in a while, you get a movie that bites back. I think this movie took off an arm or a leg (haha... *sigh*) Admitted, I did enjoy the stare down scenes, where the good doctor stared at his future victims and opened his eyes REALLY wide and just stared. It was VERY similar to Fuad Ramseys in Blood Feast when he stared at that lady in his catering shop, and did not use his power after that. I guess this movie picks up where Fuad's powers left off. *Final Judgement* The movie should have stayed lost. Good day -Scott-"
2,,"When you start watching this animation-masterpiece, you quickly notice, that it's a European production. Although the Europeans have (sadly) integrated some of the clichés you would normally find in an American production of this kind, most are missing. One of these is that there is an overwhelming evil that only our (very few and very unlikely) heroes can vanquish. Another is that one of the group is only in the business for the money, is greedy, runs away when the heat is up but somehow gives in to his better nature. This movie would have been better off without both. The movie is based upon a TV-Series that was out four years before the movie. Unlike the movie, the TV-Series is a cartoon and not a computer animation. At first I thought the computer would kill the charm and character of the plot but I was quickliy convinced: Whoever did the animation knew his or her stuff! Although the characters are obviously fictional (in stills they don't even look real), they seem as alive and sentient as the audience following their quest. Making characters who by ""normal"" standards could be considered deformed (those micro-legs could never carry that giant body let alone make it jump) so alive and lovable is more than ""just a highlight""! The creation of the world is another masterpiece. Not so much because of its looks but because of the inventiveness of it. The world our heroes travel is not solid like our own but is made of many pieces of land varying in shape and size that seem to be floating in mid air. When a person steps on a smaller fragment of ground, it nods a little bit as if feathering from the weight. In some cases up and down no longer apply but our heroes still manage to get a foothold somewhere. Although the world of floating islands is completely surreal, in this movie it is absolutely believable and after a short time it doesn't seem any weirder than running into a car somewhere in New York. I wrote that the looks of the world aren't as breathtaking as the idea. As true as that might be to my mind, the quality of the world, the characters and the attention to details is staggering. Although the faces of the characters have relatively few attributes, emotions can be read as clearly as in Sean Connery's or Dustin Hoffman's face. The world around the characters is wonderfully colourful and no two settings are alike. The background is always in motion, something is always going on which makes the world seem even more alive. If you stop the movie and look at the background you will be surprised how many details you can find. The existence of Hector actually puts the cherry on top. Hector is a furry little ""thing"" (possibly the equivalent of a dog in our world) who is totally lovable and extremely funny. Although he isn't really important for the main plot, he would be missed like Scrat would be in Ice Age. The really cool thing about Hector is that you need to speak Gibberish to understand him. If the movie is so great, why didn't I give it 10 stars? Well, the plot in itself was rather thin. Two hunters are sent out to rescue the world from a really bad dragon who wants to swallow the world, isn't really original. That in itself wouldn't be much of a problem. What I missed was the background information. What kind of a dragon was this and why did it look that way? I love mythical stories but if they get too thin then they seem to be written after the movie is finished in a feeble attempt to give the whole thing some depth. Another thing I didn't like was Zoé. Although a little girl like her could be considered adorable, she was somewhat of a pain in this movie. She seemed pretty resistant to all types of learning about reality, kept dreaming of some hero from a story book and basically slowed the others down. She would have been OK if she had developed a little more and a little earlier in the movie - or had been less of a girly to start with. To me the idea of this girl who was there to twist the story a little backfired on the writers. All in all, this is a really good movie for just about all ages."
1,,"I read the novel some years ago and I liked it a lot. when I saw the movie I couldn't believe it... They changed everything I liked about the novel, even the plot. I wonder what did Isabel Allende (author) say about the movie, but I think it sucks!!!"
2,,"This movie is a fascinating example of Luis Bunuel's storytelling abilities. This is a comedy that is not a comedy, and a social drama that is not a social drama. Even though I don't think it was particularly funny, it made me laugh. Also, despite the fact that you can never take Bunuel too seriously, the movie made think about religion and its importance in some people's lives. Bunuel tells the story of a Catholic priest, devoted to his faith like no one else and the viewer witness what happens when the priest's undying commitment to serve others is put to test. As usual, Bunuel's target is Catholicism, but I don't think he tried to mock the church as he often does. At least I didn't take the film as a mockery of the institution. I think he is trying to make an interesting point about how religion could be a nuisance in today's modern society. Not because faith in itself is bad, but because people always mange to bastardize the concept. Message aside, I think this is one of Bunuel's most clever works. Francisco Rabal is superb as the priest. Definitely, one of the filmmaker's best movies."
