label,title,text
2,,"Good question! I kind of wondered about this myself. Just one thought I had on it - the Babe himself was IN ""Pride of the Yankees"", which made me think a) that version may be closer to the truth, and b) the Babe must have been a pretty good gut to be in the movie even though some of the scenes didn't make him look completely flattering."
3,,"Voting for creation of the newsgroup misc.health.diabetes ended at 23:59 GMT on 29 Apr 93. At this time, the total response received consisted of 155 votes for newsgroup creation and 14 votes against newsgroup creation. Under the Guidelines for Usenet Group Creation, this response constitutes a passing vote. There will be a delay to allow time for the net to respond to this result, after which the newsgroup misc.health.diabetes should be created. Please check the vote acknowledgement list to be sure that your vote was received and properly credited. Any inconsistencies or errors should be reported to swkirch@sun6850.nrl.navy.mil by email. I want to thank everyone who participated in the discussion and vote for this newsgroup proposal. The following is the voting summary: Votes received against newsgroup creation: cline@usceast.cs.scarolina.edu Ernest A. Cline coleman@twin.twinsun.com Mike Coleman ejo@kaja.gi.alaska.edu Eric J. Olson elharo@shiva.njit.edu Elliotte Rusty Harold emcguire@intellection.com Ed McGuire hansenr@ohsu.EDU hmpetro@mosaic.uncc.edu Herbert M. Petro jjmorris@gandalf.rutgers.edu Joyce Morris julian@bongo.tele.com Julian Macassey knauer@cs.uiuc.edu Rob Knauerhase lau@ai.sri.com Stephen Lau macridis_g@kosmos.wcc.govt.nz Gerry Macridis owens@cookiemonster.cc.buffalo.edu Bill Owens rick@crick.ssctr.bcm.tmc.edu Richard H. Miller Votes received for newsgroup creation: 9781BMU@VMS.CSD.MU.EDU Bill Satterlee a2wj@loki.cc.pdx.edu Jim Williams ac534@freenet.carleton.ca Colin Henein ad@cat.de Axel Dunkel al198723@academ07.mty.itesm.mx Jesus Sanchez Pe~a andrea@unity.ncsu.edu anugula@badlands.NoDak.edu RamaKrishna Reddy Anugula apps@sneaks.Kodak.com Robert W. Apps arperd00@mik.uky.edu Alicia R. Perdue baind@gov.on.ca Dave Bain balamut@morris.hac.com Morris Balamut bch@Juliet.Caltech.Edu Bryan Hathorn bernsteinn@LONEXA.ADMIN.RL.AF.MIL Norman P. Bernstein BGAINES@ollamh.ucd.ie Brian Gaines bgeer@beorn.sim.es.com Bob Geer Bjorn.B.Larsen@delab.sintef.no Bjorn B. Larsen bobw@hpsadwc.sad.hp.com Bob Waltenspiel bock@VSIKP0.UNI-MUENSTER.DE Dirk Bock bruce@uxb.liverpool.ac.uk Bruce Stephens bspencer@binkley.cs.mcgill.ca Brian Spencer claudia@LONEXA.ADMIN.RL.AF.MIL Claudia Servadio-Coyne compass-da.com!tomd@compass-da.com Thomas Donnelly constabiled@LONEXA.ADMIN.RL.AF.MIL Diane Constabile csc@coast.ucsd.edu Charles Coughran curtech!sbs@unh.edu Stephanie Bradley-Swift debrum#m#_brenda@msgate.corp.apple.com Brenda DeBrum dlb@fanny.wash.inmet.com David Barton dlg1@midway.uchicago.edu Deborah Lynn Gillaspie dougb@comm.mot.com Douglas Bank drs@sunsrvr3.cci.com Dale R. Seim dt4%cs@hub.ucsb.edu David E. Goggin ed@titipu.resun.com Edward Reid edmoore@hpvclc.vcd.hp.com Ed Moore emilio@Accurate.COM Elizabeth Milio ewc@hplb.hpl.hp.com Enrico Coiera ""feathr::bluejay""@ampakz.enet.dec.com franklig@GAS.uug.Arizona.EDU Gregory C. Franklin FSSPR@acad3.alaska.edu gabe@angus.mi.org Gabe Helou gasp@medg.lcs.mit.edu Isaac Kohane gavin@praxis.co.uk Gavin Finnie Geir.Millstein@TF.tele.no Geir Millstein ggurman@cory.Berkeley.EDU Gail Gurman ggw@wolves.Durham.NC.US Gregory G. Woodbury gmalet@surfer.win.net Gary Malet GONZALEZ@SUHEP.PHY.SYR.EDU Gabriela Gonzalez greenlaw@oasys.dt.navy.mil Leila Thomas grm+@andrew.cmu.edu Gretchen Miller halderc@cs.rpi.edu Carol Halder HANDELAP%DUVM.BITNET@pucc.Princeton.EDU Phil Handel hc@Nyongwa.cam.org heddings@chrisco.nrl.navy.mil Hubert Heddings herbison@lassie.ucx.lkg.dec.com HOSCH2263@iscsvax.uni.edu Kathleen Hosch hrubin@pop.stat.purdue.edu Herman Rubin HUDSOIB@AUDUCADM.DUC.AUBURN.EDU Ingrid B. Hudson huff@MCCLB0.MED.NYU.EDU Edward J. Huff huffman@ingres.com Gary Huffman HUYNH_1@ESTD.NRL.NAVY.MIL Minh Huynh ishbeld@cix.compulink.co.uk Ishbel Donkin James.Langdell@Eng.Sun.COM James Langdell jamie@SSD.intel.com Jamie Weisbrod jamyers@netcom.com John A. Myers jc@crosfield.co.uk Jerry Cullingford jcobbe@garnet.acns.fsu.edu James Cobbe jesup@cbmvax.cbm.commodore.com Randell Jesup joannm@hpcc01.corp.hp.com JoAnn McGowan joep@dap.csiro.au Joe Petranovic John.Burton@acenet.auburn.edu John E. Burton, Jr. johncha@comm.mot.com JORGENSONKE@CC.UVCC.EDU Keith Jorgenson jpsum00@mik.uky.edu Joey P. Sum JTM@ucsfvm.ucsf.edu John Maynard julien@skcla.monsanto.com kaminski@netcom.com Peter Kaminski kerry@citr.uq.oz.au Kerry Raymond kieran@world.std.com Aaron L. Dickey kolar@spot.Colorado.EDU Jennifer Lynn Kolar kriguer@tcs.com Marc Kriguer laurie@LONEXA.ADMIN.RL.AF.MIL Laurie J. Key lee@hal.com Lee Boylan lmt6@po.cwru.edu Lia M. Treffman lunie@Lehigh.EDU lusgr@chili.CC.Lehigh.EDU Stephen G. Roseman M.Beamish@ins.gu.edu.au Marilyn Beamish M.Rich@ens.gu.edu.au Maurice H. Rich maas@cdfsga.fnal.gov Peter Maas marilyn@LONEXA.ADMIN.RL.AF.MIL Marilyn M. Tucker markv@hpvcivm.vcd.hp.com Mark Vanderford MASCHLER@vms.huji.ac.il Michael Maschler mcb@net.bio.net Michael C. Berch mcday@ux1.cso.uiuc.edu Marrianne C. Day mcookson@flute.calpoly.edu melynda@titipu.resun.com Melynda Reid mfc@isr.harvard.edu Mauricio F. Contreras mg@wpi.edu Martha Gunnarson mhollowa@libserv1.ic.sunysb.edu Michael Holloway misha@abacus.concordia.ca Misha Glouberman mjb@cs.brown.edu Manish Butte MOFLNGAN@vax1.tcd.ie Margaret O' Flanagan muir@idiom.berkeley.ca.us David Muir Sharnoff N.D.Treby@southampton.ac.uk N. D. Treby N.J.C.Hookey@durham.ac.uk N. J. C. Hookey Nancy.Block@Eng.Sun.COM Nancy Block ndallen@r-node.hub.org Nigel Allen nlemur@eecs.umich.edu Nigel Lemur nlr@B31.nei.nih.gov Nathan Rohrer pams@hpfcmp.fc.hp.com Pam Sullivan papresco@undergrad.math.uwaterloo.ca Paul Prescod paslowp@cs.rpi.edu Pam Paslow phil@unet.umn.edu Phil Lindberg pillinc@gov.on.ca Christopher Pilling pkane@cisco.com Peter Kane pmmuggli@midway.ecn.uoknor.edu Pauline Muggli popelka@odysseus.uchicago.edu Glenn Popelka pulkka@cs.washington.edu Aaron Pulkka pwatkins@med.unc.edu Pat Watkins rbnsn@mosaic.shearson.com Ken Robinson rmasten@magnus.acs.ohio-state.edu Roger Masten robyn@media.mit.edu Robyn Kozierok rolf@green.mathematik.uni-stuttgart.de Rolf Schreiber sageman@cup.portal.com sasjcs@unx.sas.com Joan Stout sca@space.physics.uiowa.edu Scott Allendorf SCOTTJOR@delphi.com scrl@hplb.hpl.hp.com scs@vectis.demon.co.uk Stuart C. Squibb shan@techops.cray.com Sharan Kalwani sharen@iscnvx.lmsc.lockheed.com Sharen A. Rund shazam@unh.edu Matthew T. Thompson shipman@csab.larc.nasa.gov Floyd S. Shipman shoppa@ERIN.CALTECH.EDU Tim Shoppa sjsmith@cs.UMD.EDU Stephen Joseph Smith slillie@cs1.bradley.edu Susan Lillie steveo@world.std.com Steven W. Orr surendar@ivy.WPI.EDU Surendar Chandra swkirch@sun6850.nrl.navy.mil Steven Kirchoefer S_FAGAN@twu.edu Liz Fagan TARYN@ARIZVM1.ccit.arizona.edu Taryn L. Westergaard Thomas.E.Taylor@gagme.chi.il.us Thomas E. Taylor tima@CFSMO.Honeywell.COM Timothy D. Aanerud tsamuel%gollum@relay.nswc.navy.mil Tony Samuel U45301@UICVM.UIC.EDU Mary Jacobs vstern@gte.com Vanessa Stern wahlgren@haida.van.wti.com James Wahlgren Waldref@tv.tv.tek.com Greg Waldref waterfal@pyrsea.sea.pyramid.com Douglas Waterfall weineja1@teomail.jhuapl.edu wgrant@informix.com William Grant WINGB@Underdale.UniSA.edu.au Brian Wing YEAGER@mscf.med.upenn.edu yozzo@watson.ibm.com Ralph E. Yozzo ysharma@yamuna.b11.ingr.com Yamuna Sharma Z919016@beach.utmb.edu Molly Hamilton zulu@iesd.auc.dk Bjoern U. Gregersen The charter for misc.health.diabetes appears below. -------------------------- Charter: misc.health.diabetes unmoderated 1. The purpose of misc.health.diabetes is to provide a forum for the discussion of issues pertaining to diabetes management, i.e.: diet, activities, medicine schedules, blood glucose control, exercise, medical breakthroughs, etc. This group addresses the issues of management of both Type I (insulin dependent) and Type II (non-insulin dependent) diabetes. Both technical discussions and general support discussions relevant to diabetes are welcome. 2. Postings to misc.heath.diabetes are intended to be for discussion purposes only, and are in no way to be construed as medical advice. Diabetes is a serious medical condition requiring direct supervision by a primary health care physician. -----(end of charter)-----"
0,,"Moscow Scientific Inductrial Association ""Spectrum"" offer VIDEOSCAN vision system for PC/AT,wich include software and set of controllers. SOFTWARE For support VIDEOSCAN family program kit was developed. Kit includes more then 200 different functions for image processing. Kit works in the interactive regime, and has include Help for non professional users. There are next possibility: - input frame by any board of VIDEOSCAN family; - read - white image to - from disk; - print image on the printer; - makes arithmetic with 2 frames; - filter image; - work with gistogramme; - edit image. - include users exe modules. CONTROLLER VS9 The function of VS-9 controller is to load TV-images into PC/AT. VS-9 controller allows one to load a fragment of the TV-frame from a field of 724x600 pixels. The clock rate is 14,7 MHz when loading an image with 512 pixel in the line and 7,4 MHz when loading a 256 pixels image. This provides the equal pixel size of input image in both horizontal and vertical directions. The number of gray levels in any input modes is 256. Video signal capture time - 2.5s. CONTROLLER VS52 The purpose of the controller is to enter the TV images into a IBM PC AT or any other machine of that type. The controller was created on the base of modern elements, including user programmable gate arrays. The controller allows to digitize a input signal with different resolutions. Its flexible architecture makes possible to change technical parameters. Instead of TV signal one can process any other analog signal (including signals from slow-speed scanning devices). The controller has the following technical characteristics: - memory volume - from 256 K to 2 Mb ; - resolution when working with standard video signal - from 64x64 to 1024x512 pixels ; - resolution when working in slow input regime - up to 2048x1024 pixels; - video signal capture time - 40 ms. - maximum size of a screen when memory volume is 2Mb - 2048x1024 pixels ; - number of gray level - 256 ; - clock rate for input - up to 30 MHz ; - 4 input video multiplexer ; - input/output lookup table (LUT); - possibility to realize ""scroll"" and ""zoom""; - 8 lines for external synchronization (an input using external controlling signal) ; - electronic adjustment of black and white reference for analog - digital converter; - possibility output image to the color RGB monitor. One can change all listed above functions and parameters of the controller by reprogramming it. IMAGE PROCESSOR VS100"
3,,"Ron Roth recommends: ""Once you have your hypoglycemia CONFIRMED through the proper channels, you might consider ther following:..."" [diet omitted] 1) Ron...what do YOU consider to be ""proper channels""...this sounds suspiciously like a blood chemistry...glucose tolerance and the like...suddenly chemistry exists? You know perfectly well that this person can be saved needless trouble and expense with simple muscle testing and hair analysis to diagnose...no ""CONFIRM"" any aberrant physiology...but then again...maybe that's what you meantby ""proper channels."" 2) Were you able to understand Dick King's post that ""90% of diseases is not thesame thing as 90% of patients"" which was a reply to your inability to critically evaluate the statistic you cited from the New England Journal of Medicine. Couldyou figure out what is implied by the remark ""Of course MDs are ethically bound to not knowingly dispense placebos...""? 3) Ron...have you ever thought about why you never post in misc.health.alterna- tive...and insist instead upon insinuating your untrained, non-medical, often delusional notions of health and disease into this forum? I suspect from your apparent anger toward MDs and heteropathic medicine that there may be an underlying 'father problem'...of course I can CONFIRM this by surrogate muscle testing one of my patients while they ponder my theory to see if one of their previously weak 'indicator' muscles strengthens...or do you have reservations about my unique methods of diagnosis? Oh..I forgot what you said in an earlier post..""neither am I concerned of whether or not my study designs meet your or anyone else's criteria of acceptance."" John Badanes, DC, CA romdas@uclink.berkeley.edu"
0,,"I can't find CTDS (Connect The Dots Smoother) in France. If it is a commercial program I'll happily pay whatever it may cost (do not take it litterally). Please help! I have *LOTS* of PoV sources, texture images and animations though, if you are looking for something, just tell."
4,,"The company was probably ""Public Missiles, Inc"" of Michigan. Yup. Nope, it's not illegal. It is, however, closely regulated. In order to purchase and use the big rocket motors required, it is necessary to be one of the following: a) An employee of a government agency. b) An employee or student at a university doing research involving rockets. c) A member or representative of an educational organization involved in research or other uses of rockets. There are two such organizations: The Tripoli Rocketry Association and the National Association of Rocketry. Members of either organization must demonstrate proficiency in construction and flight before they are allowed to purchase large motors on their own. The FAA will issue a waiver of its regulations, upon request, to any organization which can persuade them it has taken adequate precautions to avoid conflicts with aircraft. The usual stipulations are: - Only operation up to a specified ceiling is allowed. Depending on the location, this ceiling may be from 5000 to 50000 feet AGL. - The operator of the rocket is responsible for avoiding any aircraft within the operating radius around the launch site. - Flight into clouds or beyond visual range in haze is expressly prohibited. - The FAA will provide a NOTAM informing other users of the airspace that unmanned rocket operations are taking place at the specified place and time. Most of the launches that are held (and there are dozens of them every year) are held in areas where air traffic is relatively light, such as over the western deserts (the Black Rock Desert north of Reno is particularly popular since it is 25 x 150 miles of *nothing to hit* on the ground). The two rocketry associations test and approve motors for their members' use, to insure safety. Depending on motor size, the launcher setback is from 50 to 500 or more feet. By the way, rockets under 1 lb and powered by an ""F"" motor are exempt from most Federal regulations on unmanned rockets anyway. See FAR 101, Subpart C, for details. As for recovery...although the higher altitude rockets can reach up to 50,000 feet, most of them only get to 2,000 to 5,000 feet. The typical rocket is 2 to 6 inches in diameter, and carries a 3 to 6 foot parachute, or multiple parachutes, depending on the payload. Many rockets also carry either a small transmitter or an audio sounder--particularly at launches in the eastern US, where there are more obstructions. Camera, telemetry transmitter, and video payloads are becoming quite common. Why not? It's a lot of fun...check out the traffic on rec.models.rockets for information about the model (3 lb and under) and high power (everything bigger) rocket hobbies. As with all dangerous activities, the key is to practice safety. I've been flying consumer rockets ranging up to 4-5 lbs takeoff weight for 27 years, and still have all my extremities intact. That's another thing. NO EXPLOSIVE WARHEADS OF ANY KIND ARE ALLOWED ON THESE ROCKETS. NONE! Please forgive me for shouting, but that's one of the biggest misconceptions people have about our hobby. True. But it will not be related to the rocket hobby, unless I get hit while crossing a road with a rocket in my hand."
3,,"I was wondering if anyone had any information about Molluscous contagiosem. I acquired it, and fortunately got rid of it, but the question still lingers in my mind: Where did it come from? The little bit of info that I have received about it in the past states that it can be transmitted sexually, but also occurs in small children on the hands, feet and genitalia. Any information will be greatly appreciated. ""I grow old, I grow old; I shall wear my trousers rolled."""
4,,"When I first saw this, I thought for a second that it was a headline from The Star about the pliers found in the SRB recently. Y'know, sometimes they have wire-cutters built in :-) -Tommy Mac ------------------------------------------------------------------------- Tom McWilliams 517-355-2178 wk \\ As the radius of vision increases, 18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows."
2,,"I didn't mean that it would necessarily help him improve at that specific deficiency. I meant that if having Bonds bat behind him gives Williams (possibly unfounded) confidence, that might translate into more hitting productivity. But you're right -- if Williams' biggest problem is more physical than mental, that's less likely to make a difference."
2,,Could some kind soul out there e-mail me the 411 on where I can find the mlb.c program? I'm interested in some road trips this year....
