label,title,text
2,Blue Hawaii CD,Good music. Elvis is still the King. Brings back memories of when people used to sing and people used to listen.
2,This book got me started!,"I decided during my senior year in college that I wanted to start investing in real estate. After about a year of investigating and reading about real estate I still hadn't been able to purchase any properties.Finally I read this book by Peter and David and it actually had step-by-step instructions I could follow and that I felt were a good match with my un-bold personality.Two years and a half years later I have done 9 deals. I cashed out of one and one was a flip.If you're looking to get started in real estate, I give this book my highest recommendation.Emily"
2,They worked---but I wouldn't use for critical jobs,"They were good, definitely inexpensive. About half the bits, though, were moderately slanted inside the socket. One bit was very slanted, enough to impede smooth rotation. I don't mean that the bits were loose in the sockets. They were rigidly in place, just slanted. For most tasks of slow hand-tightening, though, it wasn't a problem."
1,"Movie files are ""Quick Time"" Don't Need it.....",Nice pictures. I don't have much to compare this too. The camera is complicated to master. A lot of settings. My big complaint is that the movies files the camera produces are only playable with QUICK TIME. I don't use quick time .... I don't want to use quick time. I use Media Player. You can not load these .mov files into Power Point. Bummer. It is crazy for a company these days to produce something like that. My opinion is that I would not buy another one.
2,A Truely Superb CD,"As soon as I got this CD I went home and listened to it, well, about 80 Billion Times. This is one out of many of my CD's that I am not getting board of and still listen to it everyday. It's the perfect CD for any day, anytime, rain or shine. There really is no reason you shouldn't get it!"
1,Don't buy!!!!!,"Bought the pink razor for the daughter's b-day, then after three months the keypad froze up. This phone is made in Europe, so you have to call your carrier to set up text messaging. AND.....it would not pick up Cingular's network around the US when we went on vacation. Pass on this phone and try a Nokia."
1,insipid even for new agers,"From the title and cover art, one would expect something new or challenging to discover. Instead, we get over 70 minutes of the most dull, boring, and weak music ever recorded. If you enjoy ""lite"" jazz or mindless music, you might find something to tolerate on this disc. All the music can be found easily enough from the artists original releases. There are no rare, unreleased or live tracks. I got my copy from the library so did not have to waste money for it. I suggest you do the same. It amazes me how large record companies bemoan that they are losing millions to pirating when in fact no one buys their junk, thus loosing millions to banality, not pirates. Don't waste you time or money on this, but if you do, you have been warned. don't agree with the review? look at how many are used and how cheap they are. that ought to tell ya something."
2,tae kwon do green belt to red belt,I having been in tae kwon do for about 2 yrs. am a beginner. I found that the step by step pictures and writtings were indispensible in learning my forms.
1,Ten Little Indians (1989),Copared to the other versions of this movie this one stinks. It looks low budget and unravles to slow ant some parts and to fast at others. The best books Can be ruined.
2,Love,I am so glad I found this on dvd it brought back some childhood memories thank you so much!!! Love it!!
1,who do I see to get those 2 days of my life back?,"This book was a waste of time, at best. The main character was an obnoxious, whiny, pithy character who you kind of will to fail throughout the whole book. I'm an overweight girl myself, and I would rather change kitty litter than lie to someone online about what I look like. And most overweight women get lots of attention from men who like overweight women. I do feel judged by society and ostracized at times, but I've never been lonely...unless by choice. Don't read this book. Get some Douglas Adams."
2,Stop Looking. This is your vacuum,I bought an expensive Dyson. It was loud but worked well...for about ten hours total. I paid twice as much as this one. This one works great. It's light so it's easy for my wife to use. It has great suction. We have a golden retriever so lots of dog fur hits the rug. This gets it out. The stair attachment works great. The engineering behind it is well thought out. The accessories are easy to get to. It's easy to empty. Forget Dyson. I've spoken to several people since mine died and they had the same issue.
2,Great Total Workout!,This was my first Denise Austin video and I love it. I can only make it to the gym once a week and this keeps me going on the other days. It is not boring and before you know it you've completed 45 minutes of a fun yet challenging workout. I have been doing it about 4 times a week for a month and already notice a big difference. Can't wait to try her other videos.
1,MY BLEEDING EARS,"Yoko....OH NO. Listening to these songs makes me want to punch someone, [guess who]. Makes Shatner and Kathie Lee sound like freekin' angels. - is too high a rating. Should be AAAAAhhhhh. My hummingbirds won't even hum along."
1,oop's not again,"THIS movie was so bad i sold my dvd for 2 bucks, and i told the buyer to burn it. It like watching a monster movie back in the 1960's. sucks big time"
2,This Bed is a Best Buy,"This bed stands head and shoulders above another rollaway bed I purchased from Amazon. Instead of a noisy, sagging wire mesh, it has hard-wood slats for solid mattress support. Instead of an innerspring mattress in which the springs break through and poke you in the side, it has a comfortable 5"" foam mattress. In my opinion, this is a low-cost bed that can't beat. I give it two thumbs up!"
1,Don't purchase,"These DVD series mean well and try to even make the topics that they teach interesting, however, be forwarned, their style is to interject a lot of tangentially related jokes. Not only are these jokes not funny...they detract from the material that they are trying to teach in the first place. There is a lot of empirical evidence that show that students that learn with material loaded with a lot of seemingly related, humorous details...remember only those details and not the details of what they are suppose to learn."
1,don't watch the birdie,I have taken pictures with this camera several times. Each time I attempt to download them I am told that there are no pictures in the camera. This camera was a waste of money.
2,Nice tripod for the price,"For $30, this tripod does a great job. Spend another $100 and you can get one with more metal parts. I just use this tripod at family events and short travels. Can't really take it on outdoor hikes because of its size and weight. I shoot photos and videos with it and have had no problems with it. Overall, it's a simple, adaptable and inexpensive tripod to own."
2,Nice collection but............,"This is a nice collection of some very interesting stuff, but I'm not sure it's really a very useful one. Several quotes are in several categories, so you end up reading the same quote several times. Also, a bit more background on the quotes or the category would have helped this book go a lot further."
1,NEVER GET WHAT I ORDER,every time I pick a sand bag for my grandson they never send what I pick.I liked the one there showing so I picked it and they sent me an ugly brown one.They did that on the order before but I thought it was a fluke so I ordered again and the same darn thing happened.
2,Love it!!,"I asked a lot of friends their opinions about this product and the only other product I was told about was from Polar which had almost all the same features but was geared more towards bikers and a WHOLE lot more expensive. The Garmin fit my needs as a runner and was in my price range. I love the GPS and the fact that it syncs with my mapmyrun.com account which I have been using for a bit now too. LOVE IT, LOVE IT, LOVE IT."
1,Duro-Med 18 Convoluted Foam ring cushion,"Well it is a foam rubber (egg-crate style)foam ring,but as for actual use it provides no support at all!!Do not waste your money!!!!!!!!!!!!"
2,Rock and Roll bonanza,"Well, when I originally recieved this gift over 4 years ago as a Christmas gift. I set it aside, still in its shrink wrap, until later last year. I listened to the first Weezer CD, and liked it. When I unwrapped Pinkerton, I was sonically blown away. I never put the cd down, and in fact, I wore out the ball bearings on my former CD player from playing the cd so much. after going through two copies of this CD. I can thoroughly recommend this CD to anyone who is a fan of rock music. From the lovelorn lyrics to the hard rock background...you'll fall in love. Anyone who's a fan of hard rock to soft songs, will love this CD. Getchoo later"
2,MAGICAL!!!!!,This is more than I could have ever hoped for. This set is truly a gift for all springsteen fans.
1,False Advertising,"Do not but this Kindle edition. There is no TOC. It is a lie. I tried it on both the cloud reader and my Kindle 2. This is the fifth book I have purchased from Amazon that advertises a table of contents, but when I downloaded it there was none. Personally I do not think they should offer ANY e-book for the Kindle without a table of contents. Without that they are utterly useless."
1,Punch vs 3d home architect 4.0,"Punch is a limited program that is not very intuitive. The walls dont self sguare for a room, door choices are few, closet doors are limited, and measuring is difficult. I went to 3d Home, faster more intuitive, easier to use. Punch was a waste."
1,horrible,"It never warms water to appropriate temperature. The water was actually coming out almost cold. I drank cowboy coffee from expensive machine! Maybe it works well with pods, but not with ground coffee. I watched video to see if I missed something. Nope. It is just bad product. It also takes forever to just warm up in comparison with my old simple Krups cappucino maker.Do not buy."
1,Don't Waste Your Time!,"I found this book to be of absolutely no value to me. It's chapters and phrases offer nothing new to the writer, wannabe writer or reader of Romance. If you're seeking to write a Romance, you should be able to come up with descriptive phrases without having to stop your writing and look up a phrase in the book. Additionally, if you have ever read a romance novel, as you should have if you're considering writing one, you don't need this book - just check out your old stack of paperbacks."
1,Shockumentary: Extreme Collection,"I was very dissatisfied with this purchase because after I received the product, I found out that it was in a different language and I couldn't understand anything on the cd's."
2,"Comfy shoes, but extremely big!","I love these mocs. They're so comfy, almost like wearing slippers. The only thing you need to be aware of is sizing. I am usually a size 9 and ordered a half size down 8.5 after reading reviews. The 8.5 was still way to big. I advise to go with 1 whole size down."
